time,x,y,z
2.2206,1.0351,7.6955,5.4754
2.2502,1.3076,8.1586,5.4754
2.2807,1.076,8.3084,4.8216
2.3102,1.3757,8.431,4.6718
2.3963,1.7298,7.7772,5.094
2.5003,1.185,9.5342,-0.23155
2.5302,1.1169,9.616,-0.10896
2.5604,1.185,9.5342,-0.19068
2.5902,1.185,9.3027,-0.29965
2.6203,1.185,9.2346,-0.46309
2.6508,1.4165,9.3027,-0.57205
2.6804,1.5391,9.3844,-0.38137
2.7102,1.3076,9.5342,-0.14982
2.7402,1.076,9.6977,-0.040861
2.7704,0.92618,9.8475,-0.23155
2.8003,0.92618,9.9973,-0.23155
2.8302,0.72188,9.9973,-0.19068
2.8603,0.61292,9.9156,-0.34051
2.8904,0.65378,9.7249,-0.46309
2.9203,0.57205,9.6568,-0.50395
2.9504,0.69464,9.8066,-0.53119
2.9803,0.72188,9.8475,-0.46309
3.0107,0.61292,9.7249,-0.19068
3.0403,0.46309,9.7658,-0.27241
3.0704,0.8036,9.5751,-0.50395
3.1003,1.0351,9.5751,-0.38137
3.1304,0.76274,9.6977,-0.14982
3.1603,0.72188,9.5751,-0.14982
3.1904,0.95342,9.4253,-0.46309
3.2202,0.99429,9.5342,-0.61292
3.2505,1.2667,9.7658,-0.42223
3.2803,1.1169,9.6568,-0.14982
3.3103,1.0351,9.5751,0.040861
3.3403,1.185,9.5751,-0.23155
3.3806,1.3076,9.4661,-0.42223
3.4104,1.4165,9.4661,-0.53119
3.4403,1.5663,9.6568,-0.53119
3.4703,1.5391,9.5342,-0.34051
3.5003,1.4165,9.507,-0.19068
3.5303,1.3076,9.4661,-0.38137
3.5605,1.1169,9.507,-0.23155
3.5904,0.99429,9.3436,-0.23155
3.6202,0.76274,9.4661,-0.42223
3.6503,0.92618,9.7658,-0.50395
3.6803,1.185,9.7249,-0.50395
3.7103,0.99429,9.8475,-0.38137
3.7401,0.88532,9.9156,-0.27241
3.7703,1.3076,9.616,-0.42223
3.8002,1.7298,9.4661,-0.38137
3.8306,1.4165,9.5751,-0.34051
3.8601,0.92618,9.7249,-0.46309
3.8903,0.99429,9.6977,-0.57205
3.9203,1.3348,9.507,-0.76274
3.9503,1.4574,9.4661,-0.8036
3.9803,1.4574,9.5342,-0.53119
4.0102,1.1441,9.7658,-0.34051
4.0403,1.1169,9.8475,-0.61292
4.0703,1.2258,9.9156,-0.65378
4.1003,1.2667,9.616,-0.46309
4.1304,0.92618,9.2755,-0.50395
4.1603,1.2667,9.0848,-1.0351
4.1904,2.0703,9.3027,-1.2258
4.2203,2.152,9.6977,-0.95342
4.2502,2.152,9.616,-0.42223
4.2803,1.4982,9.7658,-0
4.3102,1.4165,9.5342,-0.10896
4.3403,2.0294,9.2346,-0.29965
4.3701,2.261,9.3844,-0.46309
4.4003,1.7298,9.3436,-0.34051
4.4301,0.95342,9.616,-0.50395
4.4603,0.57205,9.7249,-0.91256
4.4902,0.84446,9.7249,-0.61292
4.5203,1.3348,9.7658,-0.38137
4.5502,1.4982,9.4661,-0.27241
4.5807,1.6072,9.003,-0.23155
4.6103,1.8387,9.0848,-0.38137
4.6403,1.7979,9.3436,-0.42223
4.6703,0.84446,9.6568,-0.23155
4.7003,0.69464,9.8884,-0.29965
4.7303,1.4982,9.7658,-0.46309
4.7603,2.2201,9.3436,-0.19068
4.7903,2.0703,9.5342,0.040861
4.8203,1.757,9.616,-0
4.8503,1.3757,9.8066,-0.65378
4.8803,1.2258,9.8884,-0.50395
4.9103,1.185,9.9565,-0.29965
4.9404,1.2667,9.9565,-0.29965
4.9702,1.3076,9.8066,-0.50395
5.0002,1.7979,9.3844,-0.8036
5.0303,2.3427,8.8124,-0.61292
5.0602,2.5334,8.3901,-0.34051
5.0903,2.5606,8.6625,-0.14982
5.1206,2.4925,9.1937,-0.081722
5.1503,2.1112,9.7658,0.14982
5.1802,1.6072,9.8884,0.46309
5.2102,1.1169,9.616,0.53119
5.2404,1.1169,9.5342,-0.081722
5.2702,1.5391,9.6568,-0.72188
5.3003,1.7298,9.6568,-0.84446
5.3303,1.6481,9.507,-0.34051
5.3603,1.6889,9.3844,-0.29965
5.3902,1.9205,9.3844,-0.57205
5.4202,2.152,9.4253,-0.76274
5.4502,2.0703,9.5751,-0.72188
5.4803,1.7979,9.4661,-0.8036
5.5102,1.4165,9.1529,-0.88532
5.5403,1.2667,9.3027,-1.076
5.5703,1.1169,9.3844,-1.5255
5.6003,0.88532,9.7249,-1.9886
5.6303,0.38137,10.924,-2.3699
5.6602,-0.10896,10.569,-2.7241
5.6903,-0.19068,9.003,-2.833
5.7203,0.27241,8.7306,-2.7922
5.7502,1.3348,9.6568,-2.7513
5.7802,1.8387,10.924,-2.3018
5.8104,0.99429,11.182,-0.50395
5.8403,0.081722,10.311,1.5391
5.8703,0.27241,9.1937,2.5334
5.9003,0.61292,8.0769,2.0294
5.9303,1.1441,8.0769,1.076
5.9611,2.3427,9.3436,-0.53119
5.9905,2.833,10.229,-1.2667
6.0203,2.9829,9.9973,-1.185
6.0501,2.5606,9.6977,-1.185
6.0803,1.757,9.4253,0.19068
6.1103,1.5391,9.2346,0.95342
6.1402,1.3076,9.4661,0.34051
6.1703,1.757,9.6977,0.081722
6.2004,2.261,9.616,-0.10896
6.2303,2.261,9.112,-0.76274
6.2603,2.0294,8.9622,-1.1441
6.2903,1.6889,9.0848,-1.4982
6.3202,1.5391,8.9622,-1.7979
6.3503,1.6072,9.2346,-1.9886
6.3803,1.5663,9.5751,-2.1112
6.4102,1.4574,9.6568,-1.8796
6.4404,1.2667,9.7249,-1.4165
6.4703,1.0351,9.7658,-1.0351
6.5003,0.99429,9.5751,-0.88532
6.5303,0.92618,9.4253,-0.76274
6.5604,0.88532,9.6977,-0.91256
6.5901,0.92618,10.12,-1.2258
6.6203,1.076,10.501,-1.2667
6.6502,1.1169,10.61,-1.2667
6.6803,1.185,10.46,-1.185
6.7103,1.3076,10.27,-1.1169
6.7403,1.1169,9.7249,-1.3076
6.7703,0.92618,9.3027,-1.3757
6.8002,0.92618,9.5342,-1.4165
6.8303,1.185,9.8475,-1.6072
6.8603,1.3757,9.5342,-1.757
6.8902,1.185,9.1937,-1.7298
6.9482,0.88532,9.2755,-1.6889
6.9803,0.53119,9.6568,-2.3427
7.0105,0.76274,9.7658,-2.1112
7.0409,1.4982,9.9565,-2.3699
7.0703,2.0294,10.079,-2.2201
7.1002,2.0703,10.038,-2.1384
7.1303,1.5663,10.079,-2.2201
7.1604,0.72188,10.188,-2.4108
7.1903,0.27241,9.8066,-2.2201
7.2202,0.19068,9.7249,-1.9886
7.2502,0.081722,10.038,-1.7979
7.2802,-0.081722,10.27,-1.8387
7.3103,-0.50395,10.338,-1.757
7.3401,-0.57205,10.27,-1.6481
7.3702,-0.19068,10.038,-1.9205
7.4004,0.53119,9.4661,-1.5255
7.4304,1.0351,9.003,-0.95342
7.4602,1.1441,8.7715,-0.50395
7.4901,1.1441,8.3084,-0.040861
7.5204,1.3076,8.0769,0.23155
7.5502,1.4574,8.2403,0.31327
7.5802,1.757,8.3901,0.23155
7.6103,1.9886,8.7306,0.14982
7.6404,2.0703,9.0439,0.10896
7.6702,2.1112,9.4253,0.14982
7.7002,2.0703,10.311,0.53119
7.7303,2.4108,11.346,1.076
7.7603,3.0237,11.727,1.6072
7.7903,3.8682,10.924,2.3018
7.8203,4.2087,9.4253,2.3699
7.8502,3.4868,8.4991,1.9205
7.8812,2.261,7.8589,1.076
7.9103,2.0294,7.6683,0.27241
7.9409,2.3427,8.2812,0.14982
7.9703,2.5606,9.112,0.19068
8.0703,2.1112,7.7364,0.50395
8.1003,1.6072,6.4424,0.65378
8.1303,1.5391,5.4345,0.72188
8.1602,1.0351,5.1757,0.72188
8.1903,0.72188,5.5571,0.46309
8.2203,0.8036,6.5105,0.38137
8.2503,1.2667,7.8862,0.27241
8.2802,1.3757,9.2346,0.31327
8.3101,1.4574,9.9973,0.72188
8.3403,1.6889,10.12,1.185
8.3703,3.2961,11.305,1.2667
8.4002,4.6718,13.866,0.95342
8.4303,3.337,16.086,1.6072
8.4604,0.46309,13.484,2.4517
8.4903,0.72188,9.8066,1.076
8.5202,1.4165,8.3493,-0.69464
8.5505,1.757,9.9565,-2.5606
8.5802,2.9829,11.223,-4.9442
8.6102,2.4108,10.338,-4.3313
8.6403,0.92618,9.1937,-1.5255
8.6703,0.31327,8.0496,-0.19068
8.7003,0.46309,6.6604,0.14982
8.7303,0.92618,5.6252,0.34051
8.7602,1.185,5.1349,0.31327
8.7903,1.4982,5.6252,0.57205
8.8203,1.6481,7.355,0.95342
8.8504,1.2667,9.0848,0.92618
8.8802,0.84446,10.188,0.92618
8.9102,0.69464,10.338,0.95342
8.9403,0.50395,10.569,0.99429
8.9703,0.65378,11.346,1.0351
9.0003,1.076,13.757,0.53119
9.0307,1.5663,16.208,-0.46309
9.0602,1.9477,13.144,-0.040861
9.0905,2.7649,8.9622,-0.29965
9.1203,3.4459,8.0769,-1.185
9.1806,5.2847,9.2346,-1.757
9.2103,5.3256,9.9156,-1.6072
9.2403,4.1406,8.4719,-0.081722
9.2703,1.9886,7.5865,0.69464
9.3003,1.4574,6.5105,0.72188
9.3303,1.6072,5.7886,0.61292
9.3602,1.2667,5.8567,0.34051
9.3902,0.72188,6.4016,0.19068
9.4201,0.69464,6.9736,0.27241
9.4504,0.92618,7.6955,0.53119
9.4803,1.1441,8.6898,0.76274
9.5491,1.1441,9.3027,1.2667
9.6003,4.7535,13.757,0.69464
9.6302,4.3313,16.821,0.69464
9.6602,1.4165,13.443,1.9477
9.6903,0.84446,10.188,0.8036
9.7203,1.3348,8.7715,-0.69464
9.7502,1.4574,9.9156,-1.9205
9.7802,1.8796,10.733,-3.7592
9.8103,1.6072,9.8884,-3.2961
9.8403,1.2667,8.54,-1.7979
9.8701,1.4574,7.246,-0.76274
9.9006,1.3348,6.1292,-0.040861
9.9305,1.3076,5.5162,0.23155
9.9601,1.5663,5.5571,0.57205
9.9906,1.6072,6.5514,0.76274
10.02,1.3348,7.9679,0.84446
10.051,1.0351,9.3844,1.1169
10.08,0.8036,9.9973,1.3076
10.11,0.61292,10.12,1.4165
10.14,0.53119,10.733,1.0351
10.17,0.50395,11.795,0.53119
10.2,0.69464,14.288,-0.38137
10.23,0.72188,15.854,0.040861
10.26,1.3076,12.408,1.1169
10.29,2.6423,8.6217,-0
10.32,3.6366,8.2403,-1.1441
10.35,5.8295,9.8066,-1.6889
10.38,6.9328,9.9973,-1.757
10.411,5.7069,9.1529,-1.4165
10.44,4.2495,7.9679,-0.10896
10.47,2.3427,7.1643,0.53119
10.5,1.6481,6.0474,0.8036
10.53,1.3076,5.2847,0.72188
10.56,1.076,5.4073,0.61292
10.59,0.69464,6.2109,0.46309
10.62,0.50395,7.3141,0.34051
10.65,0.84446,8.2403,0.38137
10.68,1.185,9.0848,0.84446
10.71,0.95342,9.3436,1.4574
10.74,0.92618,9.8066,1.7298
10.77,2.9829,12.027,1.3757
10.8,4.985,15.473,0.84446
10.83,3.8273,16.63,1.076
10.86,0.99429,12.449,1.3076
10.89,0.69464,9.7249,-0.040861
10.92,1.4165,9.0439,-1.5663
10.95,1.7979,9.6568,-3.5958
10.98,1.7298,9.9565,-4.1406
11.01,1.1169,9.3027,-2.1112
11.04,1.0351,8.1177,-0.72188
11.07,1.4982,7.2052,-0.23155
11.1,1.6889,6.5105,-0.040861
11.13,1.9477,6.0474,0.27241
11.16,1.9477,6.0474,0.95342
11.19,1.2667,6.6604,1.5391
11.22,0.50395,7.8589,1.5391
11.25,0.57205,8.8532,1.185
11.28,0.57205,9.6977,0.72188
11.31,0.31327,10.038,0.46309
11.34,0.23155,10.733,0.76274
11.37,0.42223,12.871,0.69464
11.4,1.076,16.699,-0.8036
11.43,1.4574,15.473,-0.14982
11.46,2.6832,10.27,0.42223
11.49,3.8273,8.1586,-0.88532
11.52,6.0202,9.1937,-1.1441
11.55,7.8589,9.8066,-1.185
11.58,6.0202,9.507,-1.3076
11.61,4.1814,8.1586,-0.040861
11.64,1.9205,7.464,0.61292
11.67,1.1441,6.5514,0.53119
11.7,1.076,5.5162,0.46309
11.73,1.0351,5.1757,0.38137
11.76,0.88532,5.9385,0.040861
11.79,0.76274,7.1234,-0
11.82,0.72188,8.6625,0.38137
11.85,0.65378,9.7658,1.185
11.88,0.46309,10.038,2.1112
11.91,0.72188,10.229,2.1112
11.94,2.9556,12.34,1.2667
11.97,4.6037,15.554,0.46309
12,3.4459,15.432,1.1441
12.03,0.95342,11.496,1.5391
12.06,0.84446,9.6977,0.040861
12.09,1.3757,9.2755,-1.185
12.12,1.6889,9.7658,-2.833
12.15,1.6889,9.8475,-3.6775
12.18,1.3757,8.8941,-2.6423
12.21,1.3076,7.927,-1.185
12.24,1.2667,6.9736,-0.10896
12.27,1.2667,6.5105,0.19068
12.3,1.5663,6.4697,0.76274
12.33,1.3076,6.9328,1.2258
12.36,0.61292,7.6955,1.185
12.39,0.42223,8.431,1.185
12.42,0.53119,9.3027,0.76274
12.45,0.34051,9.9973,0.38137
12.48,0.23155,10.311,0.34051
12.51,0.23155,10.883,0.69464
12.54,0.38137,12.599,0.19068
12.57,0.76274,15.405,-0.72188
12.6,1.1169,15.023,0.50395
12.63,2.3699,10.842,1.185
12.66,3.3778,8.2403,-0.19068
12.69,4.8216,8.9622,-1.076
12.72,7.5865,9.8884,-1.4165
12.75,7.1234,9.8884,-1.6072
12.78,5.7478,8.2812,-1.1441
12.81,2.8739,7.3141,0.081722
12.84,1.4574,6.4424,0.50395
12.871,1.0351,5.8567,0.46309
12.9,1.1441,5.8567,0.34051
12.93,0.84446,6.4016,0.34051
12.96,0.42223,6.7829,0.19068
12.99,0.34051,7.355,0.53119
13.02,0.61292,8.54,0.95342
13.05,0.50395,9.8066,1.2667
13.08,0.50395,11.073,1.6481
13.11,2.4517,12.572,1.5663
13.14,4.0589,14.288,1.1169
13.17,2.4925,15.214,2.261
13.2,-0.23155,13.402,2.9148
13.23,0.081722,10.46,0.19068
13.26,1.3076,9.112,-1.6889
13.29,1.7298,10.188,-3.4459
13.32,3.6366,10.842,-5.4073
13.35,3.5958,9.5342,-4.8216
13.38,1.5391,8.1995,-1.4982
13.41,0.31327,7.5865,0.31327
13.44,0.19068,6.9736,0.57205
13.47,0.50395,6.4424,0.76274
13.5,1.3076,6.3198,0.8036
13.53,1.7298,6.4697,0.65378
13.57,1.5663,7.3141,0.88532
13.6,0.76274,9.3027,1.1441
13.63,0.46309,10.338,0.88532
13.66,0.14982,10.801,0.61292
13.69,-0.040861,11.141,0.69464
13.72,-0,12.681,0.23155
13.75,0.46309,15.745,-0.95342
13.78,1.2258,15.827,-0.081722
13.81,2.6015,10.61,0.88532
13.84,3.0646,7.8181,-0.61292
13.87,4.6037,8.7715,-1.4165
13.9,7.355,9.2755,-1.8387
13.93,5.7069,9.507,-1.9205
13.96,4.3313,8.4991,-0.84446
13.991,2.6832,7.6683,0.50395
14.02,1.7979,6.8238,0.50395
14.05,1.3076,5.9385,0.57205
14.08,0.99429,5.5162,0.65378
14.11,0.84446,5.7069,0.42223
14.14,0.84446,6.4016,0.19068
14.17,0.99429,7.6274,0.27241
14.2,1.076,9.1529,0.76274
14.23,0.92618,10.079,1.4982
14.26,0.92618,10.188,1.7979
14.29,1.8796,10.992,1.3757
14.32,4.0589,13.021,0.92618
14.35,4.4402,15.663,0.42223
14.38,2.5606,14.56,0.99429
14.41,0.38137,11.223,0.95342
14.44,0.57205,8.4991,0.23155
14.47,0.84446,8.1995,-0.88532
14.501,0.84446,9.9565,-2.7241
14.54,1.1169,10.27,-3.9499
14.57,1.5391,9.3436,-2.7922
14.6,1.6072,7.9679,-1.1169
14.63,1.3757,6.7829,-0.34051
14.66,1.2258,6.0474,0.19068
14.69,1.3076,5.598,0.8036
14.72,1.1441,6.2109,1.2258
14.75,0.72188,7.355,1.3348
14.78,0.8036,8.6217,0.88532
14.81,0.72188,9.8066,0.50395
14.851,0.57205,10.61,0.42223
14.88,0.46309,11.496,0.57205
14.91,0.46309,12.912,0.53119
14.94,0.92618,15.663,-0.19068
14.97,0.99429,15.05,0.081722
15,1.8796,11.114,0.34051
15.03,3.1054,8.4719,-0.99429
15.06,4.9442,8.6898,-1.8387
15.09,7.3141,8.8941,-1.9886
15.12,6.6604,9.112,-2.1384
15.15,6.2381,8.5808,-1.185
15.18,3.2553,8.1995,0.040861
15.21,1.8796,7.3141,0.38137
15.24,1.3757,6.3607,0.53119
15.281,1.3757,5.6661,0.46309
15.31,1.076,5.8567,0.31327
15.34,0.84446,6.3607,0.19068
15.37,1.076,7.3141,0.42223
15.4,1.3757,8.3493,0.8036
15.43,1.3757,8.9622,1.3076
15.46,1.4982,9.1529,1.5391
15.49,2.3699,10.229,1.185
15.52,4.2904,12.367,0.8036
15.595,4.2495,15.05,0.99429
15.682,2.1112,8.54,0.081722
15.72,4.0997,9.1529,-1.4574
15.75,7.5865,10.12,-2.261
15.78,6.17,9.6568,-1.8387
15.81,4.985,7.9679,-0.10896
15.84,2.3018,7.246,1.1169
15.87,1.2667,6.3198,1.0351
15.9,1.076,5.4754,0.8036
15.93,1.0351,5.4073,0.65378
15.97,0.57205,5.8976,0.38137
16,0.10896,7.1234,0.23155
16.03,0.46309,8.431,0.53119
16.06,0.27241,9.616,1.0351
16.09,-0.27241,10.12,1.757
16.12,0.23155,10.12,1.9477
16.15,2.4108,11.686,1.5663
16.18,3.909,14.751,0.88532
16.21,3.3778,16.249,1.5391
16.24,0.95342,12.721,2.6015
16.27,0.53119,9.4661,0.46309
16.3,1.6481,8.7715,-1.3076
16.33,2.2201,10.76,-3.1054
16.361,3.4051,10.992,-5.4073
16.39,2.3699,9.3844,-3.6366
16.42,0.46309,8.0088,-0.57205
16.45,0.040861,7.0145,0.34051
16.48,0.34051,6.17,0.57205
16.51,1.0351,5.8976,0.72188
16.54,1.5391,6.0202,0.72188
16.57,1.7979,6.5105,0.8036
16.6,1.3757,7.927,1.076
16.631,0.76274,9.507,1.2667
16.66,0.42223,10.338,1.2667
16.69,0.23155,10.61,1.1441
16.72,0.040861,11.073,1.2667
16.75,-0,12.762,0.8036
16.78,0.38137,15.977,-0.57205
16.81,0.76274,15.214,-0.14982
16.84,2.0294,10.12,0.72188
16.87,2.6015,7.6955,-0.46309
16.9,4.2904,9.3844,-1.4982
16.93,7.1643,10.501,-1.8796
16.96,5.9385,10.147,-1.8796
16.99,4.7535,8.3901,-0.53119
17.02,2.3699,7.6683,0.76274
17.05,1.4982,6.7421,0.72188
17.08,1.3757,5.7478,0.72188
17.11,1.1169,5.4073,0.8036
17.14,0.53119,5.8567,0.61292
17.17,0.31327,6.5105,0.31327
17.2,0.53119,7.3141,0.42223
17.23,0.92618,8.6625,0.57205
17.26,0.72188,9.8066,1.2667
17.29,0.65378,10.038,2.0703
17.32,2.1793,10.801,1.7979
17.35,4.2087,13.402,0.99429
17.38,4.4402,16.208,0.42223
17.41,2.2201,14.097,1.9205
17.44,0.69464,10.61,1.3076
17.47,1.6072,8.8532,-0.72188
17.5,1.8796,9.5342,-1.9477
17.53,2.7241,10.311,-3.3642
17.56,2.1793,9.9973,-3.7865
17.59,0.88532,9.003,-1.8796
17.62,0.72188,7.6955,-0.72188
17.65,0.65378,6.6604,0.040861
17.68,0.99429,6.0202,0.31327
17.71,1.1169,5.9385,0.57205
17.74,0.99429,6.2109,0.76274
17.77,0.69464,7.246,0.95342
17.8,0.76274,8.6625,1.185
17.83,0.92618,9.7249,1.185
17.86,0.92618,10.379,1.0351
17.89,1.0351,11.141,1.185
17.92,0.92618,12.299,1.1169
17.95,0.92618,14.86,0.14982
17.98,0.99429,15.554,-0.19068
18.01,1.1169,11.536,0.69464
18.04,2.3427,8.3084,0.081722
18.07,3.4868,8.7306,-0.88532
18.1,6.0474,10.147,-1.5255
18.13,6.6604,10.12,-1.9477
18.16,5.8295,8.8941,-1.5663
18.19,3.7865,7.8862,0.040861
18.22,2.3018,7.2052,0.53119
18.25,1.6889,6.2381,0.61292
18.28,1.3757,5.7069,0.72188
18.31,0.76274,5.8295,0.8036
18.34,0.38137,6.3607,0.65378
18.37,0.53119,7.1643,0.38137
18.4,1.076,8.1177,0.42223
18.43,0.99429,9.112,0.76274
18.46,0.65378,9.6977,1.5391
18.49,0.76274,9.5342,1.9477
18.52,2.261,10.569,1.5391
18.55,4.0997,13.757,0.84446
18.58,3.909,16.549,0.53119
18.61,1.4574,13.797,1.6072
18.64,0.34051,10.311,1.1441
18.67,1.1441,8.7306,-0.46309
18.7,1.5663,9.5342,-1.9205
18.73,1.9477,10.501,-3.4868
18.76,1.3348,9.9565,-3.337
18.79,0.99429,9.003,-1.6481
18.82,0.99429,8.0496,-0.65378
18.85,1.185,6.9736,-0.10896
18.88,1.2667,6.0474,-0.040861
18.91,1.3348,5.4754,0.31327
18.94,1.4165,5.9385,0.92618
18.97,1.0351,7.1234,1.3757
19,0.61292,8.4719,1.4165
19.03,0.61292,9.5751,1.3076
19.06,0.31327,10.379,0.92618
19.09,0.10896,10.76,0.72188
19.12,0.14982,11.754,0.61292
19.15,0.61292,14.751,-0.081722
19.18,1.0351,17.162,-0.69464
19.21,1.6072,12.871,0.72188
19.24,2.4517,8.4991,0.081722
19.27,3.5277,8.3493,-1.2667
19.3,6.1292,9.5751,-1.757
19.33,6.7829,9.8884,-1.8387
19.36,5.3256,9.1529,-1.2258
19.39,3.5685,8.0088,0.34051
19.42,1.5391,7.3958,0.65378
19.45,1.0351,6.3607,0.57205
19.48,1.185,5.7478,0.34051
19.51,0.88532,5.8976,0.040861
19.54,0.34051,6.2381,-0.10896
19.57,0.34051,6.8238,0.14982
19.6,0.69464,8.1995,0.65378
19.63,0.72188,9.5342,1.185
19.66,0.65378,10.188,1.9205
19.69,0.8036,9.9973,2.152
19.72,2.261,11.141,1.4982
19.75,4.3721,13.947,0.76274
19.78,3.5277,16.208,0.72188
19.81,0.46309,13.375,1.8796
19.84,-0.081722,10.12,0.95342
19.87,0.84446,8.4719,-0.99429
19.9,1.2258,9.5342,-2.1793
19.93,2.261,10.569,-3.7592
19.96,2.0703,9.9973,-3.6775
19.991,0.92618,9.1937,-1.3348
20.02,0.57205,8.1177,-0.42223
20.05,0.69464,6.8919,0.14982
20.08,0.99429,5.9793,0.27241
20.11,1.1441,5.4754,0.42223
20.14,1.2258,5.8976,0.88532
20.17,0.99429,7.0826,1.076
20.2,0.84446,8.5808,0.92618
20.23,0.65378,9.8884,0.8036
20.26,0.38137,10.692,0.88532
20.29,0.23155,11.032,1.185
20.32,0.34051,12.299,0.76274
20.35,0.61292,15.05,-0.27241
20.38,0.69464,15.514,-0.081722
20.41,1.3757,11.373,0.88532
20.44,2.5334,8.3493,-0.23155
20.47,3.7184,8.5808,-1.3757
20.5,6.4424,10.079,-1.8387
20.53,6.9328,10.147,-1.7298
20.56,6.17,9.0848,-0.95342
20.591,3.7184,8.4719,0.38137
20.62,2.0703,7.8589,0.34051
20.65,1.4982,6.6331,0.31327
20.68,1.4982,5.7069,0.23155
20.711,1.1441,5.598,0.34051
20.74,0.61292,5.7478,0.38137
20.77,0.57205,6.1292,0.38137
20.8,0.88532,7.246,0.61292
20.83,1.1441,8.7715,0.76274
20.86,1.185,9.7658,1.185
20.89,1.1169,9.8066,1.757
20.92,1.8796,10.529,1.6072
20.95,4.0997,12.871,0.92618
20.98,4.4811,15.514,0.88532
21.02,1.3348,14.628,2.6015
21.05,0.19068,10.42,1.2258
21.08,1.2667,8.54,-0.91256
21.11,1.2667,10.038,-2.3018
21.14,2.3699,11.305,-4.3313
21.17,2.261,10.46,-4.3313
21.2,0.65378,9.003,-1.3757
21.23,-0.14982,7.6955,0.040861
21.26,-0,6.3607,0.46309
21.29,0.61292,5.5571,0.50395
21.331,1.1441,5.2166,0.53119
21.36,1.5391,6.0474,0.38137
21.39,1.3076,7.6274,0.50395
21.42,0.76274,9.3844,0.92618
21.45,0.38137,10.651,0.95342
21.48,0.23155,11.373,1.076
21.51,0.31327,11.754,0.99429
21.54,0.65378,13.402,0.19068
21.57,1.2258,15.977,-0.46309
21.6,1.3757,13.675,0.31327
21.63,2.3018,9.5751,0.23155
21.66,3.2144,8.5808,-1.4165
21.69,5.2438,9.9973,-2.261
21.72,7.1234,10.147,-2.1112
21.75,5.5571,9.8884,-1.3348
21.78,4.8625,8.4719,-0.10896
21.81,2.6423,7.5457,0.53119
21.84,1.9477,6.4424,0.50395
21.871,1.5663,5.5162,0.61292
21.9,1.1441,5.3664,0.72188
21.931,0.65378,5.7069,0.57205
21.96,0.31327,6.3198,0.38137
22.081,0.84446,7.355,0.57205
22.11,0.99429,8.8124,0.69464
22.14,0.84446,9.8475,0.99429
22.17,0.72188,9.9156,1.5663
22.201,1.1441,9.7658,1.9477
22.231,2.6015,11.073,1.6072
22.278,3.909,14.288,1.0351
22.31,1.4574,14.288,1.9886
22.368,0.19068,10.692,1.2667
22.4,1.4574,9.003,-1.7979
